x1,x2,x3,x4,x5,Доходность,Риск,ESG
1.0000,0.0000,0.0000,0.0000,0.0000,28.00,38.00,3.00
0.9800,0.0200,0.0000,0.0000,0.0000,27.92,37.92,3.02
0.9600,0.0400,0.0000,0.0000,0.0000,27.84,37.84,3.04
0.9400,0.0600,0.0000,0.0000,0.0000,27.76,37.76,3.06
0.9200,0.0800,0.0000,0.0000,0.0000,27.68,37.68,3.08
0.9000,0.1000,0.0000,0.0000,0.0000,27.60,37.60,3.10
0.8800,0.1200,0.0000,0.0000,0.0000,27.52,37.52,3.12
0.8600,0.1400,0.0000,0.0000,0.0000,27.44,37.44,3.14
0.8400,0.1600,0.0000,0.0000,0.0000,27.36,37.36,3.16
0.8200,0.1800,0.0000,0.0000,0.0000,27.28,37.28,3.18
0.8000,0.2000,0.0000,0.0000,0.0000,27.20,37.20,3.20
0.7800,0.2200,0.0000,0.0000,0.0000,27.12,37.12,3.22
0.7600,0.2400,0.0000,0.0000,0.0000,27.04,37.04,3.24
0.7400,0.2600,0.0000,0.0000,0.0000,26.96,36.96,3.26
0.7200,0.2800,0.0000,0.0000,0.0000,26.88,36.88,3.28
0.7000,0.3000,0.0000,0.0000,0.0000,26.80,36.80,3.30
0.6800,0.3200,0.0000,0.0000,0.0000,26.72,36.72,3.32
0.6600,0.3400,0.0000,0.0000,0.0000,26.64,36.64,3.34
0.6400,0.3600,0.0000,0.0000,0.0000,26.56,36.56,3.36
0.6200,0.3800,0.0000,0.0000,0.0000,26.48,36.48,3.38
0.6000,0.4000,0.0000,0.0000,0.0000,26.40,36.40,3.40
0.5800,0.4200,0.0000,0.0000,0.0000,26.32,36.32,3.42
0.5600,0.4400,0.0000,0.0000,0.0000,26.24,36.24,3.44
0.5400,0.4600,0.0000,0.0000,0.0000,26.16,36.16,3.46
0.5200,0.4800,0.0000,0.0000,0.0000,26.08,36.08,3.48
0.5000,0.5000,0.0000,0.0000,0.0000,26.00,36.00,3.50
0.4800,0.5200,0.0000,0.0000,0.0000,25.92,35.92,3.52
0.4600,0.5400,0.0000,0.0000,0.0000,25.84,35.84,3.54
0.4400,0.5600,0.0000,0.0000,0.0000,25.76,35.76,3.56
0.4200,0.5800,0.0000,0.0000,0.0000,25.68,35.68,3.58
0.4000,0.6000,0.0000,0.0000,0.0000,25.60,35.60,3.60
0.3800,0.6200,0.0000,0.0000,0.0000,25.52,35.52,3.62
0.3600,0.6400,0.0000,0.0000,0.0000,25.44,35.44,3.64
0.3400,0.6600,0.0000,0.0000,0.0000,25.36,35.36,3.66
0.3200,0.6800,0.0000,0.0000,0.0000,25.28,35.28,3.68
0.3000,0.7000,0.0000,0.0000,0.0000,25.20,35.20,3.70
0.2800,0.7200,0.0000,0.0000,0.0000,25.12,35.12,3.72
0.2600,0.7400,0.0000,0.0000,0.0000,25.04,35.04,3.74
0.2400,0.7600,0.0000,0.0000,0.0000,24.96,34.96,3.76
0.2200,0.7800,0.0000,0.0000,0.0000,24.88,34.88,3.78
0.2000,0.8000,0.0000,0.0000,0.0000,24.80,34.80,3.80
0.1800,0.8200,0.0000,0.0000,0.0000,24.72,34.72,3.82
0.1600,0.8400,0.0000,0.0000,0.0000,24.64,34.64,3.84
0.1400,0.8600,0.0000,0.0000,0.0000,24.56,34.56,3.86
0.1200,0.8800,0.0000,0.0000,0.0000,24.48,34.48,3.88
0.1000,0.9000,0.0000,0.0000,0.0000,24.40,34.40,3.90
0.0800,0.9200,0.0000,0.0000,0.0000,24.32,34.32,3.92
0.0600,0.9400,0.0000,0.0000,0.0000,24.24,34.24,3.94
0.0400,0.9600,0.0000,0.0000,0.0000,24.16,34.16,3.96
0.0200,0.9800,0.0000,0.0000,0.0000,24.08,34.08,3.98
0.0000,1.0000,0.0000,0.0000,0.0000,24.00,34.00,4.00
0.0000,0.9800,0.0200,0.0000,0.0000,23.94,33.94,4.02
0.0000,0.9600,0.0400,0.0000,0.0000,23.88,33.88,4.04
0.0000,0.9400,0.0600,0.0000,0.0000,23.82,33.82,4.06
0.0000,0.9200,0.0800,0.0000,0.0000,23.76,33.76,4.08
0.0000,0.9000,0.1000,0.0000,0.0000,23.70,33.70,4.10
0.0000,0.8800,0.1200,0.0000,0.0000,23.64,33.64,4.12
0.0000,0.8600,0.1400,0.0000,0.0000,23.58,33.58,4.14
0.0000,0.8400,0.1600,0.0000,0.0000,23.52,33.52,4.16
0.0000,0.8200,0.1800,0.0000,0.0000,23.46,33.46,4.18
0.0000,0.8000,0.2000,0.0000,0.0000,23.40,33.40,4.20
0.0000,0.7800,0.2200,0.0000,0.0000,23.34,33.34,4.22
0.0000,0.7600,0.2400,0.0000,0.0000,23.28,33.28,4.24
0.0000,0.7400,0.2600,0.0000,0.0000,23.22,33.22,4.26
0.0000,0.7200,0.2800,0.0000,0.0000,23.16,33.16,4.28
0.0000,0.7000,0.3000,0.0000,0.0000,23.10,33.10,4.30
0.0000,0.6800,0.3200,0.0000,0.0000,23.04,33.04,4.32
0.0000,0.6600,0.3400,0.0000,0.0000,22.98,32.98,4.34
0.0000,0.6400,0.3600,0.0000,0.0000,22.92,32.92,4.36
0.0000,0.6200,0.3800,0.0000,0.0000,22.86,32.86,4.38
0.0000,0.6000,0.4000,0.0000,0.0000,22.80,32.80,4.40
0.0000,0.5800,0.4200,0.0000,0.0000,22.74,32.74,4.42
0.0000,0.5600,0.4400,0.0000,0.0000,22.68,32.68,4.44
0.0000,0.5400,0.4600,0.0000,0.0000,22.62,32.62,4.46
0.0000,0.5200,0.4800,0.0000,0.0000,22.56,32.56,4.48
0.0000,0.5000,0.5000,0.0000,0.0000,22.50,32.50,4.50
0.0000,0.4800,0.5200,0.0000,0.0000,22.44,32.44,4.52
0.0000,0.4600,0.5400,0.0000,0.0000,22.38,32.38,4.54
0.0000,0.4400,0.5600,0.0000,0.0000,22.32,32.32,4.56
0.0000,0.4200,0.5800,0.0000,0.0000,22.26,32.26,4.58
0.0000,0.4000,0.6000,0.0000,0.0000,22.20,32.20,4.60
0.0000,0.3800,0.6200,0.0000,0.0000,22.14,32.14,4.62
0.0000,0.3600,0.6400,0.0000,0.0000,22.08,32.08,4.64
0.0000,0.3400,0.6600,0.0000,0.0000,22.02,32.02,4.66
0.0000,0.3200,0.6800,0.0000,0.0000,21.96,31.96,4.68
0.0000,0.3000,0.7000,0.0000,0.0000,21.90,31.90,4.70
0.0000,0.2800,0.7200,0.0000,0.0000,21.84,31.84,4.72
0.0000,0.2600,0.7400,0.0000,0.0000,21.78,31.78,4.74
0.0000,0.2400,0.7600,0.0000,0.0000,21.72,31.72,4.76
0.0000,0.2200,0.7800,0.0000,0.0000,21.66,31.66,4.78
0.0000,0.2000,0.8000,0.0000,0.0000,21.60,31.60,4.80
0.0000,0.1800,0.8200,0.0000,0.0000,21.54,31.54,4.82
0.0000,0.1600,0.8400,0.0000,0.0000,21.48,31.48,4.84
0.0000,0.1400,0.8600,0.0000,0.0000,21.42,31.42,4.86
0.0000,0.1200,0.8800,0.0000,0.0000,21.36,31.36,4.88
0.0000,0.1000,0.9000,0.0000,0.0000,21.30,31.30,4.90
0.0000,0.0800,0.9200,0.0000,0.0000,21.24,31.24,4.92
0.0000,0.0600,0.9400,0.0000,0.0000,21.18,31.18,4.94
0.0000,0.0400,0.9600,0.0000,0.0000,21.12,31.12,4.96
0.0000,0.0200,0.9800,0.0000,0.0000,21.06,31.06,4.98
0.0000,0.0000,1.0000,0.0000,0.0000,21.00,31.00,5.00
0.0000,0.0000,0.9800,0.0200,0.0000,20.94,30.94,5.02
0.0000,0.0000,0.9600,0.0400,0.0000,20.88,30.88,5.04
0.0000,0.0000,0.9400,0.0600,0.0000,20.82,30.82,5.06
0.0000,0.0000,0.9200,0.0800,0.0000,20.76,30.76,5.08
0.0000,0.0000,0.9000,0.1000,0.0000,20.70,30.70,5.10
0.0000,0.0000,0.8800,0.1200,0.0000,20.64,30.64,5.12
0.0000,0.0000,0.8600,0.1400,0.0000,20.58,30.58,5.14
0.0000,0.0000,0.8400,0.1600,0.0000,20.52,30.52,5.16
0.0000,0.0000,0.8200,0.1800,0.0000,20.46,30.46,5.18
0.0000,0.0000,0.8000,0.2000,0.0000,20.40,30.40,5.20
0.0000,0.0000,0.7800,0.2200,0.0000,20.34,30.34,5.22
0.0000,0.0000,0.7600,0.2400,0.0000,20.28,30.28,5.24
0.0000,0.0000,0.7400,0.2600,0.0000,20.22,30.22,5.26
0.0000,0.0000,0.7200,0.2800,0.0000,20.16,30.16,5.28
